,date,content,id,username,like_count,retweet,Url
0,2023-03-10 18:03:39+00:00,"ELON MUSK promoting movie Mario, changed ❤ button to Mario... 🤩

#MarioMovie #MAR10Day #Mario #ElonMusk #Dogecoin #Tesla #PayPal #floki #NASDAQ #Elon #MarioBrosMovie #SuperMarioMovie https://t.co/evPXHRWOij",1634253698867286016,FunViralVideoss,2,1,https://twitter.com/FunViralVideoss/status/1634253698867286016
1,2023-03-10 17:31:34+00:00,Isn't this too harsh? @elonmusk #Twitter #Elon #elon_musk #TwoFactorAuthentication #TwitterBlue https://t.co/7mWfrQMXLY,1634245625289277440,dion_valetta,1,1,https://twitter.com/dion_valetta/status/1634245625289277440
2,2023-03-10 17:19:11+00:00,#PiNetwork #elon musk #lunc #Floki #BSC #BABYDOGE #grovecoin #Safemoon #BSCgem  #pancakeswap #crypto #BullRun #CSIX #BNBTiger,1634242509361561605,djelal_hichem,5,1,https://twitter.com/djelal_hichem/status/1634242509361561605
3,2023-03-10 17:02:08+00:00,"Elon Musk ask: ""Is having kids BAD for the environment?""
I'll let you judge.

#alseifmedia #elon #musk #elonmusk #entrepreneur https://t.co/DWt9AL9vQC",1634238216843739148,alseifsocial,0,0,https://twitter.com/alseifsocial/status/1634238216843739148
4,2023-03-10 17:00:45+00:00,Elon Musk building a Texas town with Kanye and Grimes…this is Marxism at play. #Elon #Texas https://t.co/VRp3pzQOhA,1634237871769960469,eliratov,0,0,https://twitter.com/eliratov/status/1634237871769960469
5,2023-03-10 17:00:38+00:00,@garygastelu @WholeMarsBlog You’ll be hating the entire world when there are 5 million on the roads. #tesla #cybertruck #elon #musk https://t.co/ArqPbZvjUb,1634237841084653568,KTapston,0,0,https://twitter.com/KTapston/status/1634237841084653568
6,2023-03-10 16:40:27+00:00,"It happened AGAIN and this time in Burlington, VT…. #Tesla #ElonMusk #Musk #elon https://t.co/I4yVOWveKg",1634232761962889217,MichaelTheCoe,0,0,https://twitter.com/MichaelTheCoe/status/1634232761962889217
7,2023-03-10 15:38:41+00:00,#Elon Musk - People Have To Know Our Survival Is At Stake! https://t.co/RijVgFSMzU via @YouTube #amazing #venus #mars $TSLA #believe #believeitwillbe #believeanditwillbe #believeitanditwillbe 🙏🏼♥️🕊🌹📿🌊☀️🚀✨✨👑👑 🌎,1634217217041522688,believitwillbe,0,0,https://twitter.com/believitwillbe/status/1634217217041522688
8,2023-03-10 15:36:36+00:00,#Nobody #Not #Even #Elon #Musk #Can #Go #Fast #In #Space #Its #AWastedTriptheyGonnaGetStrandedAndDie,1634216693693132803,420PRESelect,1,0,https://twitter.com/420PRESelect/status/1634216693693132803
9,2023-03-10 15:25:58+00:00,Good lord @ Twitter you have some funny standards where tweets are concerned ? I’ve heard a lot worse than my tweet that’s gone un checked but I can always leave you won’t stop me from saying what I think  ?  Thought when #Elon musk took over supposed to be more liberal,1634214017655775232,Elisabe85994531,0,0,https://twitter.com/Elisabe85994531/status/1634214017655775232
10,2023-03-10 15:02:12+00:00,https://t.co/MmWcuYj0g0  keep #Rocking all these #Ge #GreenhouseEffect #classic #SuperMarioMovie #TrumpIsGuilty Musk #Musk #Elon #Trump #Eltonmusk,1634208034871447552,GreenhousEfect,0,0,https://twitter.com/GreenhousEfect/status/1634208034871447552
11,2023-03-10 14:12:42+00:00,"NHTSA is investigating Tesla over Model Y's faulty steering wheels.
#elon_musk #Elon #ElonMusk #Elonmusk #Tesla #ModelY 
https://t.co/UwzurOaGKw",1634195578505789440,rwinkle_,2,0,https://twitter.com/rwinkle_/status/1634195578505789440
12,2023-03-10 14:02:47+00:00,"Elon Mask çalışanlarına şehir inşa edecek #elon #musk #spacex #boring #teksas #abd #calisanlar
https://t.co/j85B4J8D1V",1634193083574173699,objektifat,0,0,https://twitter.com/objektifat/status/1634193083574173699
13,2023-03-10 13:51:54+00:00,"Engadget Podcast: What’s up with Elon Musk’s Neuralink?

#Gadget #Elon #Engadget #Musks

https://t.co/ftZsERdAbg",1634190344249315328,GallantCeo,0,0,https://twitter.com/GallantCeo/status/1634190344249315328
14,2023-03-10 13:42:47+00:00,"Learn the truth.

https://t.co/juo6X0ne1C

#TheNoticing #Noticing #Trump #Elon #Musk #Donald
#Kanye #Truth #redpill #facts #Ye #MAGA https://t.co/uhyWBwi5fu",1634188048757051394,TheTruthMasterz,0,0,https://twitter.com/TheTruthMasterz/status/1634188048757051394
15,2023-03-10 13:41:49+00:00,Elon is a robot confirmed. #elon_musk  #elon,1634187807068672001,RsgGamingyt,0,0,https://twitter.com/RsgGamingyt/status/1634187807068672001
16,2023-03-10 13:35:18+00:00,"@spotgamma The infestation of short-dated CALLS into $TSLA/stonks is THE MAJOR #SEC CRIME, not puts and now.

Money-losing paper with #Elon Musk leading the lemmings since November 2019. #weaponizedgamma created a big exit for PE via SPAC/IPO. $SIVB

#MTM 03/09 turned Mark-to-DeepOTMCalls https://t.co/cuaDfJxprr",1634186166323781636,agwitter,0,0,https://twitter.com/agwitter/status/1634186166323781636
17,2023-03-10 13:31:22+00:00,"Yo

#TWITTER FCUKED UP

#Elon musk bhadwa 

Unwanted,unknown accounts on TL https://t.co/qkRCPIVMyt",1634185178095693825,NightVoyagers,0,0,https://twitter.com/NightVoyagers/status/1634185178095693825
18,2023-03-10 13:24:21+00:00,I #think it’s very important to have a #feedback #loop | #Elon #Musk | Centur... https://t.co/C99aGiTOQV via @YouTube,1634183410599051265,BasicEdu2050,1,0,https://twitter.com/BasicEdu2050/status/1634183410599051265
19,2023-03-10 13:18:52+00:00,"I absolutely hate #NewTwitter, and I've used #twitter for almost 14 years.
You have to pay for others to see your tweets.
#Elon's army of sycophants fawning over every stupid Tweet he writes.
Musk claims he's anti-#woke, yet has THE most woke condition, #Asperger's.",1634182029926383626,rioblu,0,0,https://twitter.com/rioblu/status/1634182029926383626
20,2023-03-10 12:59:01+00:00,Hey Elon still waiting for a duel my guy 🤘don’t forget the blue eyes 🤔 #yugioh #YuGiOhMASTERDUEL #blueeyeswhitedragon #bewd #elon_musk #elon #duel #tcg,1634177033671417861,ChaosMAXzack,0,0,https://twitter.com/ChaosMAXzack/status/1634177033671417861
